Depth(ft)	S-velocity(ft/s)	P-velocity(ft/s)	Density(g/cc)	N
0.000000	268.871099	4168.446809	2.459769	0.777336
0.258621	272.639722	4172.629980	2.460532	0.812569
0.535714	277.453274	4177.973023	2.461505	0.859145
0.831281	276.625752	4177.054475	2.461338	0.851011
1.145320	266.083211	4165.352253	2.459204	0.751956
1.477833	255.142987	4153.208605	2.456983	0.657844
1.828818	249.228731	4146.643780	2.455779	0.610499
2.198276	241.632760	4138.212252	2.454230	0.553191
2.586207	250.752300	4148.334942	2.456090	0.622464
2.992611	270.365328	4170.105403	2.460072	0.791177
3.417488	287.912250	4189.582487	2.463614	0.966598
3.860838	303.205192	4206.557653	2.466685	1.139795
4.322660	317.161679	4222.049354	2.469474	1.315434
4.802956	335.058630	4241.914969	2.473033	1.566726
5.301724	332.207143	4238.749819	2.472467	1.524656
5.818966	342.157751	4249.794994	2.474438	1.674911
6.354680	336.709023	4243.746905	2.473360	1.591436
6.908867	355.600923	4264.716916	2.477092	1.893619
7.481527	352.348924	4261.107196	2.476451	1.839017
8.072662	352.517486	4261.294300	2.476484	1.841821
8.682268	392.860055	4306.074552	2.484386	2.600825
9.310345	398.519784	4312.356852	2.485486	2.722040
9.956897	405.952066	4320.606685	2.486927	2.887031
10.621924	416.243315	4332.029971	2.488918	3.126636
11.305422	423.231661	4339.787036	2.490265	3.296899
12.007390	431.893975	4349.402203	2.491932	3.516640
12.727835	480.313361	4403.147723	2.501156	4.932811
13.466751	484.406650	4407.691274	2.501929	5.067941
14.224140	556.468666	4487.680112	2.515361	7.882224
16.551724	739.647150	4691.008233	2.548006	19.508684
